Date,tse_close
2004-01-02,8293.70
2004-01-05,8381.70
2004-01-06,8405.10
2004-01-07,8388.50
2004-01-08,8386.40
2004-01-09,8352.20
2004-01-12,8380.40
2004-01-13,8380.30
2004-01-14,8403.80
2004-01-15,8423.90
2004-01-16,8522.30
2004-01-19,8580.40
2004-01-20,8623.60
2004-01-21,8621.90
2004-01-22,8589.10
2004-01-23,8604.70
2004-01-26,8594.90
2004-01-27,8588.20
2004-01-28,8535.70
2004-01-29,8449.40
2004-01-30,8521.40
2004-02-02,8639.90
2004-02-03,8660.70
2004-02-04,8538.10
2004-02-05,8548.40
2004-02-06,8638.60
2004-02-09,8695.20
2004-02-10,8751.50
2004-02-11,8767.70
2004-02-12,8725.00
2004-02-13,8694.50
2004-02-16,8747.50
2004-02-17,8767.10
2004-02-18,8717.80
2004-02-19,8699.10
2004-02-20,8641.90
2004-02-23,8609.60
2004-02-24,8605.00
2004-02-25,8637.30
2004-02-26,8737.80
2004-02-27,8788.50
2004-03-01,8874.70
2004-03-02,8808.00
2004-03-03,8795.70
2004-03-04,8773.30
2004-03-05,8845.00
2004-03-08,8801.20
2004-03-09,8750.30
2004-03-10,8585.40
2004-03-11,8503.90
2004-03-12,8592.00
2004-03-15,8434.40
2004-03-16,8503.30
2004-03-17,8601.70
2004-03-18,8555.90
2004-03-19,8583.80
2004-03-22,8478.50
2004-03-23,8474.50
2004-03-24,8420.90
2004-03-25,8513.90
2004-03-26,8509.60
2004-03-29,8555.20
2004-03-30,8622.20
2004-03-31,8585.90
2004-04-01,8652.10
2004-04-02,8798.80
2004-04-05,8858.50
2004-04-06,8832.70
2004-04-07,8807.60
2004-04-08,8833.50
2004-04-09,null
2004-04-12,8898.80
2004-04-13,8763.60
2004-04-14,8640.10
2004-04-15,8637.20
2004-04-16,8695.40
2004-04-19,8702.80
2004-04-20,8603.00
2004-04-21,8573.10
2004-04-22,8680.00
2004-04-23,8667.90
2004-04-26,8616.20
2004-04-27,8535.00
2004-04-28,8234.90
2004-04-29,8231.90
2004-04-30,8244.00
2004-05-03,8257.60
2004-05-04,8455.90
2004-05-05,8457.30
2004-05-06,8427.70
2004-05-07,8274.80
2004-05-10,8129.50
2004-05-11,8205.10
2004-05-12,8187.70
2004-05-13,8176.60
2004-05-14,8188.10
2004-05-17,8123.50
2004-05-18,8162.70
2004-05-19,8196.80
2004-05-20,8147.90
2004-05-21,8210.50
2004-05-24,null
2004-05-25,8354.20
2004-05-26,8319.00
2004-05-27,8343.60
2004-05-28,8347.10
2004-05-31,8417.30
2004-06-01,8418.40
2004-06-02,8374.80
2004-06-03,8329.10
2004-06-04,8348.70
2004-06-07,8412.80
2004-06-08,8412.00
2004-06-09,8317.10
2004-06-10,8345.50
2004-06-11,8366.60
2004-06-14,8292.30
2004-06-15,8390.20
2004-06-16,8427.90
2004-06-17,8497.60
2004-06-18,8468.00
2004-06-21,8472.20
2004-06-22,8517.90
2004-06-23,8575.40
2004-06-24,8530.80
2004-06-25,8497.80
2004-06-28,8468.90
2004-06-29,8498.50
2004-06-30,8545.60
2004-07-01,null
2004-07-02,8487.30
2004-07-05,8486.00
2004-07-06,8484.70
2004-07-07,8481.90
2004-07-08,8420.40
2004-07-09,8473.20
2004-07-12,8422.20
2004-07-13,8452.60
2004-07-14,8458.30
2004-07-15,8397.30
2004-07-16,8350.50
2004-07-19,8414.80
2004-07-20,8418.50
2004-07-21,8454.20
2004-07-22,8398.10
2004-07-23,8383.30
2004-07-26,8314.60
2004-07-27,8294.40
2004-07-28,8356.30
2004-07-29,8443.20
2004-07-30,8458.10
2004-08-02,null
2004-08-03,8464.10
2004-08-04,8363.00
2004-08-05,8267.90
2004-08-06,8176.70
2004-08-09,8183.40
2004-08-10,8231.30
2004-08-11,8168.20
2004-08-12,8132.30
2004-08-13,8172.60
2004-08-16,8241.50
2004-08-17,8232.20
2004-08-18,8223.00
2004-08-19,8293.90
2004-08-20,8335.60
2004-08-23,8315.50
2004-08-24,8316.40
2004-08-25,8371.40
2004-08-26,8331.30
2004-08-27,8334.30
2004-08-30,8309.00
2004-08-31,8377.00
2004-09-01,8410.10
2004-09-02,8388.90
2004-09-03,8344.40
2004-09-06,null
2004-09-07,8369.40
2004-09-08,8354.80
2004-09-09,8394.00
2004-09-10,8368.60
2004-09-13,8513.40
2004-09-14,8492.60
2004-09-15,8467.00
2004-09-16,8493.40
2004-09-17,8529.90
2004-09-20,8539.80
2004-09-21,8642.90
2004-09-22,8586.10
2004-09-23,8591.70
2004-09-24,8588.40
2004-09-27,8498.00
2004-09-28,8617.20
2004-09-29,8634.10
2004-09-30,8668.30
2004-10-01,8747.10
2004-10-04,8812.90
2004-10-05,8797.10
2004-10-06,8871.90
2004-10-07,8825.40
2004-10-08,8814.90
2004-10-11,null
2004-10-12,8785.90
2004-10-13,8729.60
2004-10-14,8745.60
2004-10-15,8788.90
2004-10-18,8788.90
2004-10-19,8720.50
2004-10-20,8788.10
2004-10-21,8846.70
2004-10-22,8780.80
2004-10-25,8749.20
2004-10-26,8818.20
2004-10-27,8791.00
2004-10-28,8781.00
2004-10-29,8871.00
2004-11-01,8858.20
2004-11-02,8870.90
2004-11-03,8841.40
2004-11-04,8866.60
2004-11-05,8868.70
2004-11-08,8825.70
2004-11-09,8845.20
2004-11-10,8841.70
2004-11-11,8886.20
2004-11-12,8896.40
2004-11-15,8937.20
2004-11-16,8952.00
2004-11-17,8987.60
2004-11-18,8971.50
2004-11-19,8959.40
2004-11-22,8991.50
2004-11-23,8995.20
2004-11-24,8976.10
2004-11-25,9025.90
2004-11-26,9058.00
2004-11-29,9056.40
2004-11-30,9030.10
2004-12-01,9064.50
2004-12-02,9038.50
2004-12-03,9055.70
2004-12-06,9060.70
2004-12-07,8991.00
2004-12-08,9003.70
2004-12-09,9013.60
2004-12-10,8965.30
2004-12-13,9032.80
2004-12-14,9086.40
2004-12-15,9106.20
2004-12-16,9116.60
2004-12-17,9122.60
2004-12-20,9122.60
2004-12-21,9237.50
2004-12-22,9251.20
2004-12-23,9235.20
2004-12-24,9287.40
2004-12-27,null
2004-12-28,null
2004-12-29,9229.10
2004-12-30,9264.40
2004-12-31,9246.70
2005-01-04,9143.00
2005-01-05,9021.10
2005-01-06,9064.30
2005-01-07,9006.20
2005-01-10,9026.80
2005-01-11,9020.70
2005-01-12,9022.70
2005-01-13,9009.10
2005-01-14,9057.20
2005-01-17,9063.80
2005-01-18,9134.80
2005-01-19,9120.40
2005-01-20,9089.00
2005-01-21,9086.80
2005-01-24,9078.20
2005-01-25,9125.10
2005-01-26,9162.40
2005-01-27,9174.40
2005-01-28,9141.80
2005-01-31,9204.10
2005-02-01,9270.10
2005-02-02,9303.90
2005-02-03,9303.70
2005-02-04,9358.30
2005-02-07,9371.90
2005-02-08,9392.70
2005-02-09,9402.60
2005-02-10,9496.40
2005-02-11,9558.50
2005-02-14,9585.20
2005-02-15,9570.00
2005-02-16,9639.60
2005-02-17,9619.30
2005-02-18,9658.80
2005-02-21,9682.30
2005-02-22,9640.50
2005-02-23,9675.70
2005-02-24,9657.70
2005-02-25,9741.40
2005-02-28,9668.30
2005-03-01,9728.00
2005-03-02,9800.10
2005-03-03,9859.50
2005-03-04,9927.20
2005-03-07,9886.10
2005-03-08,9903.30
2005-03-09,9795.10
2005-03-10,9675.60
2005-03-11,9691.40
2005-03-14,9715.40
2005-03-15,9709.30
2005-03-16,9712.60
2005-03-17,9778.20
2005-03-18,9754.70
2005-03-21,9693.60
2005-03-22,9647.20
2005-03-23,9549.70
2005-03-24,9533.10
2005-03-28,9482.40
2005-03-29,9395.40
2005-03-30,9484.30
2005-03-31,9612.40
2005-04-01,9638.60
2005-04-04,9630.90
2005-04-05,9619.10
2005-04-06,9673.00
2005-04-07,9625.40
2005-04-08,9623.70
2005-04-11,9643.70
2005-04-12,9629.00
2005-04-13,9492.10
2005-04-14,9409.60
2005-04-15,9277.10
2005-04-18,9331.00
2005-04-19,9415.70
2005-04-20,9378.10
2005-04-21,9405.80
2005-04-22,9367.50
2005-04-25,9416.10
2005-04-26,9427.70
2005-04-27,9323.50
2005-04-28,9275.10
2005-04-29,9369.30
2005-05-02,9430.20
2005-05-03,9371.00
2005-05-04,9473.30
2005-05-05,9476.30
2005-05-06,9522.70
2005-05-09,9561.20
2005-05-10,9493.60
2005-05-11,9446.40
2005-05-12,9331.70
2005-05-13,9278.50
2005-05-16,9323.30
2005-05-17,9371.40
2005-05-18,9407.80
2005-05-19,9469.80
2005-05-20,9452.20
2005-05-24,9518.40
2005-05-25,9509.50
2005-05-26,9579.10
2005-05-27,9619.40
2005-05-30,9673.20
2005-05-31,9607.30
2005-06-01,9654.20
2005-06-02,9626.60
2005-06-03,9671.20
2005-06-06,9654.00
2005-06-07,9656.20
2005-06-08,9707.90
2005-06-09,9763.40
2005-06-10,9790.10
2005-06-13,9839.90
2005-06-14,9822.90
2005-06-15,9866.60
2005-06-16,9968.70
2005-06-17,9947.60
2005-06-20,9998.10
2005-06-21,9939.20
2005-06-22,10051.50
2005-06-23,9998.40
2005-06-24,9996.20
2005-06-27,9998.10
2005-06-28,10041.00
2005-06-29,10029.30
2005-06-30,9902.80
2005-07-04,9941.80
2005-07-05,10075.10
2005-07-06,10111.90
2005-07-07,10121.00
2005-07-08,10177.90
2005-07-11,10217.70
2005-07-12,10207.90
2005-07-13,10203.60
2005-07-14,10124.90
2005-07-15,10149.00
2005-07-18,10163.00
2005-07-19,10263.20
2005-07-20,10329.60
2005-07-21,10317.70
2005-07-22,10374.80
2005-07-25,10362.60
2005-07-26,10367.90
2005-07-27,10500.70
2005-07-28,10516.20
2005-07-29,10422.90
2005-08-02,10621.20
2005-08-03,10598.80
2005-08-04,10626.70
2005-08-05,10550.50
2005-08-08,10614.40
2005-08-09,10585.90
2005-08-10,10671.40
2005-08-11,10699.90
2005-08-12,10683.10
2005-08-15,10650.70
2005-08-16,10534.80
2005-08-17,10500.70
2005-08-18,10391.30
2005-08-19,10502.10
2005-08-22,10525.50
2005-08-23,10480.00
2005-08-24,10509.70
2005-08-25,10538.90
2005-08-26,10484.10
2005-08-29,10558.40
2005-08-30,10573.10
2005-08-31,10668.90
2005-09-01,10813.30
2005-09-02,10771.90
2005-09-06,10798.10
2005-09-07,10810.10
2005-09-08,10777.20
2005-09-09,10898.20
2005-09-12,10885.20
2005-09-13,10825.20
2005-09-14,10932.40
2005-09-15,10966.30
2005-09-16,10990.60
2005-09-19,11024.70
2005-09-20,10903.50
2005-09-21,10957.10
2005-09-22,10870.80
2005-09-23,10904.30
2005-09-26,11005.50
2005-09-27,11067.20
2005-09-28,11042.30
2005-09-29,11018.50
2005-09-30,11011.80
2005-10-03,11081.20
2005-10-04,10960.60
2005-10-05,10748.10
2005-10-06,10562.20
2005-10-07,10612.20
2005-10-11,10620.50
2005-10-12,10493.10
2005-10-13,10429.70
2005-10-14,10488.80
2005-10-17,10553.40
2005-10-18,10345.10
2005-10-19,10425.80
2005-10-20,10190.70
2005-10-21,10290.90
2005-10-24,10360.80
2005-10-25,10363.70
2005-10-26,10283.70
2005-10-27,10245.50
2005-10-28,10312.30
2005-10-31,10383.30
2005-11-01,10390.80
2005-11-02,10585.70
2005-11-03,10672.60
2005-11-04,10674.80
2005-11-07,10681.20
2005-11-08,10616.20
2005-11-09,10656.50
2005-11-10,10565.30
2005-11-11,10669.40
2005-11-14,10684.70
2005-11-15,10628.90
2005-11-16,10727.00
2005-11-17,10733.10
2005-11-18,10722.10
2005-11-21,10817.30
2005-11-22,10892.80
2005-11-23,10919.80
2005-11-24,11081.80
2005-11-25,11002.60
2005-11-28,10939.20
2005-11-29,10942.60
2005-11-30,10824.10
2005-12-01,10999.60
2005-12-02,11005.20
2005-12-05,11008.80
2005-12-06,11096.80
2005-12-07,11131.40
2005-12-08,11167.20
2005-12-09,11132.00
2005-12-12,11099.30
2005-12-13,11137.40
2005-12-14,11095.80
2005-12-15,11092.80
2005-12-16,11136.60
2005-12-19,11154.30
2005-12-20,11180.60
2005-12-21,11247.30
2005-12-22,11255.40
2005-12-23,11245.40
2005-12-28,11261.20
2005-12-29,11296.30
2005-12-30,11272.30
2006-01-03,11441.60
2006-01-04,11501.50
2006-01-05,11507.70
2006-01-06,11620.50
2006-01-09,11565.20
2006-01-10,11597.60
2006-01-11,11621.00
2006-01-12,11595.20
2006-01-13,11604.80
2006-01-16,11721.00
2006-01-17,11689.60
2006-01-18,11554.50
2006-01-19,11693.00
2006-01-20,11605.70
2006-01-23,11733.40
2006-01-24,11692.40
2006-01-25,11675.20
2006-01-26,11737.40
2006-01-27,11856.80
2006-01-30,11947.50
2006-01-31,11945.60
2006-02-01,11952.10
2006-02-02,11929.90
2006-02-03,11937.60
2006-02-06,12080.50
2006-02-07,11817.30
2006-02-08,11735.10
2006-02-09,11709.30
2006-02-10,11651.70
2006-02-13,11519.50
2006-02-14,11616.40
2006-02-15,11557.30
2006-02-16,11704.30
2006-02-17,11758.00
2006-02-20,11865.80
2006-02-21,11826.40
2006-02-22,11800.20
2006-02-23,11738.60
2006-02-24,11810.60
2006-02-27,11706.50
2006-02-28,11688.30
2006-03-01,11794.60
2006-03-02,11906.90
2006-03-03,11978.70
2006-03-06,11883.30
2006-03-07,11816.50
2006-03-08,11737.10
2006-03-09,11765.30
2006-03-10,11833.60
2006-03-13,11906.70
2006-03-14,11973.30
2006-03-15,12055.60
2006-03-16,12085.70
2006-03-17,12000.70
2006-03-20,11929.30
2006-03-21,11947.60
2006-03-22,11970.70
2006-03-23,12017.90
2006-03-24,12111.10
2006-03-27,12078.50
2006-03-28,12048.80
2006-03-29,12190.60
2006-03-30,12207.00
2006-03-31,12110.60
2006-04-03,12210.90
2006-04-04,12174.10
2006-04-05,12299.10
2006-04-06,12342.00
2006-04-07,12241.20
2006-04-10,12289.70
2006-04-11,12177.30
2006-04-12,12167.70
2006-04-13,12248.60
2006-04-17,12309.00
2006-04-18,12446.80
2006-04-19,12487.30
2006-04-20,12313.70
2006-04-21,12437.20
2006-04-24,12342.20
2006-04-25,12329.80
2006-04-26,12321.70
2006-04-27,12187.70
2006-04-28,12204.20
2006-05-01,12234.60
2006-05-02,12274.50
2006-05-03,12196.20
2006-05-04,12125.90
2006-05-05,12270.10
2006-05-08,12294.20
2006-05-09,12328.20
2006-05-10,12316.30
2006-05-11,12165.40
2006-05-12,12038.10
2006-05-15,11831.70
2006-05-16,11829.40
2006-05-17,11640.60
2006-05-18,11540.00
2006-05-19,11545.80
2006-05-23,11539.90
2006-05-24,11423.90
2006-05-25,11653.00
2006-05-26,11762.80
2006-05-29,11845.50
2006-05-30,11705.40
2006-05-31,11744.50
2006-06-01,11847.00
2006-06-02,11898.70
2006-06-05,11699.50
2006-06-06,11666.10
2006-06-07,11475.40
2006-06-08,11415.50
2006-06-09,11390.70
2006-06-12,11197.60
2006-06-13,10904.30
2006-06-14,10960.70
2006-06-15,11213.20
2006-06-16,11208.00
2006-06-19,11007.60
2006-06-20,10995.50
2006-06-21,11112.80
2006-06-22,11130.20
2006-06-23,11249.00
2006-06-26,11372.20
2006-06-27,11293.20
2006-06-28,11332.30
2006-06-29,11520.90
2006-06-30,11612.90
2006-07-04,11733.20
2006-07-05,11626.40
2006-07-06,11602.00
2006-07-07,11631.90
2006-07-10,11654.70
2006-07-11,11793.00
2006-07-12,11771.10
2006-07-13,11601.90
2006-07-14,11630.00
2006-07-17,11480.60
2006-07-18,11471.70
2006-07-19,11619.60
2006-07-20,11465.50
2006-07-21,11418.30
2006-07-24,11625.20
2006-07-25,11754.60
2006-07-26,11879.60
2006-07-27,11758.90
2006-07-28,11823.70
2006-07-31,11831.00
2006-08-01,11907.70
2006-08-02,11969.90
2006-08-03,11936.70
2006-08-04,11936.70
2006-08-08,11998.20
2006-08-09,12008.20
2006-08-10,11959.10
2006-08-11,11944.90
2006-08-14,11850.20
2006-08-15,11977.20
2006-08-16,12030.30
2006-08-17,12056.00
2006-08-18,12044.80
2006-08-21,12136.90
2006-08-22,12201.20
2006-08-23,12195.10
2006-08-24,12132.30
2006-08-25,12119.80
2006-08-28,12167.40
2006-08-29,12060.50
2006-08-30,12068.40
2006-08-31,12073.80
2006-09-01,12145.10
2006-09-05,12198.60
2006-09-06,11999.70
2006-09-07,11895.00
2006-09-08,11869.60
2006-09-11,11656.60
2006-09-12,11678.90
2006-09-13,11777.20
2006-09-14,11648.70
2006-09-15,11656.00
2006-09-18,11763.60
2006-09-19,11701.70
2006-09-20,11635.40
2006-09-21,11627.70
2006-09-22,11581.60
2006-09-25,11582.70
2006-09-26,11642.40
2006-09-27,11751.60
2006-09-28,11817.40
2006-09-29,11761.30
2006-10-02,11787.40
2006-10-03,11526.10
2006-10-04,11618.10
2006-10-05,11750.00
2006-10-06,11690.90
2006-10-10,11755.20
2006-10-11,11619.10
2006-10-12,11719.10
2006-10-13,11908.60
2006-10-16,12061.50
2006-10-17,11996.60
2006-10-18,11966.00
2006-10-19,12060.60
2006-10-20,12035.60
2006-10-23,12119.20
2006-10-24,12195.50
2006-10-25,12341.70
2006-10-26,12335.70
2006-10-27,12268.90
2006-10-30,12274.40
2006-10-31,12344.60
2006-11-01,12050.40
2006-11-02,12130.70
2006-11-03,12239.00
2006-11-06,12333.30
2006-11-07,12310.20
2006-11-08,12378.20
2006-11-09,12410.20
2006-11-10,12340.50
2006-11-13,12309.40
2006-11-14,12279.60
2006-11-15,12425.40
2006-11-16,12365.90
2006-11-17,12372.90
2006-11-20,12416.60
2006-11-21,12602.30
2006-11-22,12557.00
2006-11-23,12644.90
2006-11-24,12631.10
2006-11-27,12542.50
2006-11-28,12530.90
2006-11-29,12668.20
2006-11-30,12752.40
2006-12-01,12754.80
2006-12-04,12848.70
2006-12-05,12895.90
2006-12-06,12889.80
2006-12-07,12915.70
2006-12-08,12899.60
2006-12-11,12878.20
2006-12-12,12858.50
2006-12-13,12910.30
2006-12-14,13021.80
2006-12-15,12866.30
2006-12-18,12785.20
2006-12-19,12781.50
2006-12-20,12783.00
2006-12-21,12737.20
2006-12-22,12718.20
2006-12-27,12852.60
2006-12-28,12909.50
2006-12-29,12908.40
2007-01-02,12923.70
2007-01-03,12701.40
2007-01-04,12553.60
2007-01-05,12478.00
2007-01-08,12553.10
2007-01-09,12468.00
2007-01-10,12457.60
2007-01-11,12519.90
2007-01-12,12678.80
2007-01-15,12755.40
2007-01-16,12720.30
2007-01-17,12730.40
2007-01-18,12640.70
2007-01-19,12719.00
2007-01-22,12705.80
2007-01-23,12910.90
2007-01-24,13010.70
2007-01-25,12927.30
2007-01-26,12979.30
2007-01-29,12946.00
2007-01-30,13014.60
2007-01-31,13034.10
2007-02-01,13144.70
2007-02-02,13111.60
2007-02-05,13166.70
2007-02-06,13183.30
2007-02-07,13142.30
2007-02-08,13184.30
2007-02-09,13084.00
2007-02-12,13040.50
2007-02-13,13171.80
2007-02-14,13204.50
2007-02-15,13288.20
2007-02-16,13312.00
2007-02-19,13291.50
2007-02-20,13319.70
2007-02-21,13330.30
2007-02-22,13318.00
2007-02-23,13343.50
2007-02-26,13404.50
2007-02-27,13040.10
2007-02-28,13045.00
2007-03-01,12981.10
2007-03-02,12863.30
2007-03-05,12711.30
2007-03-06,12868.20
2007-03-07,12989.60
2007-03-08,13051.00
2007-03-09,13057.40
2007-03-12,13065.20
2007-03-13,12809.60
2007-03-14,12808.70
2007-03-15,12874.30
2007-03-16,12829.70
2007-03-19,13011.70
2007-03-20,12977.40
2007-03-21,13155.60
2007-03-22,13139.60
2007-03-23,13237.70
2007-03-26,13302.90
2007-03-27,13218.80
2007-03-28,13197.20
2007-03-29,13258.00
2007-03-30,13165.50
2007-04-02,13265.80
2007-04-03,13361.20
2007-04-04,13448.30
2007-04-05,13425.00
2007-04-09,13482.30
2007-04-10,13431.30
2007-04-11,13401.00
2007-04-12,13499.70
2007-04-13,13578.60
2007-04-16,13660.00
2007-04-17,13658.00
2007-04-18,13712.00
2007-04-19,13574.70
2007-04-20,13664.70
2007-04-23,13629.00
2007-04-24,13590.30
2007-04-25,13672.90
2007-04-26,13597.50
2007-04-27,13632.00
2007-04-30,13416.70
2007-05-01,13406.30
2007-05-02,13578.70
2007-05-03,13687.00
2007-05-04,13769.90
2007-05-07,13865.50
2007-05-08,13915.40
2007-05-09,13895.20
2007-05-10,13853.10
2007-05-11,14003.80
2007-05-14,13903.30
2007-05-15,13934.60
2007-05-16,14025.00
2007-05-17,14100.70
2007-05-18,14105.30
2007-05-22,14112.20
2007-05-23,14142.50
2007-05-24,13946.30
2007-05-25,14024.10
2007-05-28,14073.70
2007-05-29,13962.70
2007-05-30,14081.70
2007-05-31,14056.80
2007-06-01,14119.40
2007-06-04,14146.70
2007-06-05,14141.70
2007-06-06,13941.60
2007-06-07,13703.90
2007-06-08,13798.50
2007-06-11,13832.80
2007-06-12,13724.30
2007-06-13,13859.50
2007-06-14,14002.00
2007-06-15,14137.40
2007-06-18,14176.40
2007-06-19,14119.50
2007-06-20,13978.20
2007-06-21,14095.70
2007-06-22,13986.00
2007-06-25,13841.90
2007-06-26,13663.90
2007-06-27,13741.90
2007-06-28,13715.70
2007-06-29,13906.60
2007-07-03,14064.70
2007-07-04,14060.40
2007-07-05,14079.40
2007-07-06,14118.70
2007-07-09,14177.50
2007-07-10,14131.90
2007-07-11,14166.10
2007-07-12,14356.00
2007-07-13,14496.50
2007-07-16,14338.30
2007-07-17,14382.00
2007-07-18,14583.70
2007-07-19,14625.80
2007-07-20,14582.90
2007-07-23,14468.30
2007-07-24,14068.20
2007-07-25,14105.30
